timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1707550729222,319,"home/.well-known/shopify/monorail/unstable/produce_batch-2,677",200,OK,Stress Thread Group 3-2,,true,,1112,1640,4,9,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,319,0,0
1707550729233,337,"home/.well-known/shopify/monorail/unstable/produce_batch-2,678",200,OK,Load Thread Group 2-3,,true,,1112,2292,4,9,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,337,0,0
1707550729233,339,"home/.well-known/shopify/monorail/unstable/produce_batch-2,677",200,OK,Load Thread Group 2-2,,true,,1118,1640,4,9,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,339,0,0
1707550729271,342,"home/.well-known/shopify/monorail/unstable/produce_batch-2,678",200,OK,Stress Thread Group 3-3,,true,,1120,2292,4,9,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,342,0,0
1707550729270,455,"home/-2,601",200,OK,Stress Thread Group 3-4,text,true,,171068,722,4,9,https://supertails.com/,332,0,74
1707550729270,466,"home/-2,601",200,OK,Load Thread Group 2-4,text,true,,170596,722,4,9,https://supertails.com/,331,0,70
1707550729750,38,"home/cdn/shop/t/462/compiled_assets/styles.css-2,606",200,OK,Load Thread Group 2-4,text,true,,1477,1267,4,9,https://supertails.com/cdn/shop/t/462/compiled_assets/styles.css?349329,38,0,0
1707550729741,47,"home/cdn/shop/t/462/compiled_assets/styles.css-2,606",200,OK,Stress Thread Group 3-4,text,true,,1471,1267,4,9,https://supertails.com/cdn/shop/t/462/compiled_assets/styles.css?349329,47,0,0
1707550729790,46,"home/checkouts/internal/preloads.js-2,615",200,OK,Load Thread Group 2-4,text,true,,1852,1289,4,9,https://supertails.com/checkouts/internal/preloads.js?permanent-domain=supertail.myshopify.com&locale=en-IN,46,0,0
1707550729790,61,"home/checkouts/internal/preloads.js-2,615",200,OK,Stress Thread Group 3-4,text,true,,1854,1289,4,9,https://supertails.com/checkouts/internal/preloads.js?permanent-domain=supertail.myshopify.com&locale=en-IN,61,0,0
1707550729543,326,"home/.well-known/shopify/monorail/unstable/produce_batch-2,679",200,OK,Stress Thread Group 3-2,,true,,1120,2500,4,9,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,326,0,0
1707550729573,334,"home/.well-known/shopify/monorail/unstable/produce_batch-2,679",200,OK,Load Thread Group 2-2,,true,,1116,2500,4,9,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,334,0,0
1707550729572,372,"home/.well-known/shopify/monorail/unstable/produce_batch-2,677",200,OK,Load Thread Group 2-3,,true,,1116,1640,4,9,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,372,0,0
1707550729615,337,"home/.well-known/shopify/monorail/unstable/produce_batch-2,677",200,OK,Stress Thread Group 3-3,,true,,1116,1640,4,9,https://supertails.com/.well-known/shopify/monorail/unstable/produce_batch,337,0,0
